spend_month,channel,campaign_id,spend
2024-01-01,Paid Search,PS_Brand,22512.72
2024-01-01,Paid Search,PS_NonBrand,32818.66
2024-01-01,Paid Search,PS_Competitor,10030.28
2024-01-01,Paid Social,SOC_Prospecting,39080.03
2024-01-01,Paid Social,SOC_Retargeting,17021.21
2024-01-01,Paid Social,SOC_Video,12170.06
2024-01-01,Email,EML_Nurture,5993.36
2024-01-01,Email,EML_Reactivation,3411.98
2024-01-01,Partner,PART_Consultants,9347.3
2024-01-01,Partner,PART_Community,7107.88
2024-01-01,Organic Search,ORG_SEO,9483.95
2024-01-01,Referral,REF_Customer,7611.27
2024-01-01,Direct,DIR_None,0.0
2024-02-01,Paid Search,PS_Brand,17633.76
2024-02-01,Paid Search,PS_NonBrand,26961.22
2024-02-01,Paid Search,PS_Competitor,10623.13
2024-02-01,Paid Social,SOC_Prospecting,28690.07
2024-02-01,Paid Social,SOC_Retargeting,12752.6
2024-02-01,Paid Social,SOC_Video,9380.86
2024-02-01,Email,EML_Nurture,5201.89
2024-02-01,Email,EML_Reactivation,2877.84
2024-02-01,Partner,PART_Consultants,9359.23
2024-02-01,Partner,PART_Community,5957.09
2024-02-01,Organic Search,ORG_SEO,8933.61
2024-02-01,Referral,REF_Customer,6943.74
2024-02-01,Direct,DIR_None,0.0
2024-03-01,Paid Search,PS_Brand,18009.2
2024-03-01,Paid Search,PS_NonBrand,28401.35
2024-03-01,Paid Search,PS_Competitor,8717.1
2024-03-01,Paid Social,SOC_Prospecting,32548.83
2024-03-01,Paid Social,SOC_Retargeting,14689.2
2024-03-01,Paid Social,SOC_Video,10261.6
2024-03-01,Email,EML_Nurture,4867.87
2024-03-01,Email,EML_Reactivation,2750.11
2024-03-01,Partner,PART_Consultants,9009.86
2024-03-01,Partner,PART_Community,5813.45
2024-03-01,Organic Search,ORG_SEO,8160.81
2024-03-01,Referral,REF_Customer,6106.4
2024-03-01,Direct,DIR_None,0.0
2024-04-01,Paid Search,PS_Brand,19791.03
2024-04-01,Paid Search,PS_NonBrand,29528.43
2024-04-01,Paid Search,PS_Competitor,8407.1
2024-04-01,Paid Social,SOC_Prospecting,28994.01
2024-04-01,Paid Social,SOC_Retargeting,12961.31
2024-04-01,Paid Social,SOC_Video,10709.35
2024-04-01,Email,EML_Nurture,5681.43
2024-04-01,Email,EML_Reactivation,2739.8
2024-04-01,Partner,PART_Consultants,9219.27
2024-04-01,Partner,PART_Community,5357.28
2024-04-01,Organic Search,ORG_SEO,8342.52
2024-04-01,Referral,REF_Customer,5980.88
2024-04-01,Direct,DIR_None,0.0
2024-05-01,Paid Search,PS_Brand,18236.76
2024-05-01,Paid Search,PS_NonBrand,27376.8
2024-05-01,Paid Search,PS_Competitor,8779.87
2024-05-01,Paid Social,SOC_Prospecting,35919.89
2024-05-01,Paid Social,SOC_Retargeting,13579.62
2024-05-01,Paid Social,SOC_Video,9120.14
2024-05-01,Email,EML_Nurture,5665.98
2024-05-01,Email,EML_Reactivation,2904.84
2024-05-01,Partner,PART_Consultants,8443.82
2024-05-01,Partner,PART_Community,6649.27
2024-05-01,Organic Search,ORG_SEO,8714.64
2024-05-01,Referral,REF_Customer,6099.25
2024-05-01,Direct,DIR_None,0.0
2024-06-01,Paid Search,PS_Brand,18186.07
2024-06-01,Paid Search,PS_NonBrand,23897.7
2024-06-01,Paid Search,PS_Competitor,8740.53
2024-06-01,Paid Social,SOC_Prospecting,28276.31
2024-06-01,Paid Social,SOC_Retargeting,15133.88
2024-06-01,Paid Social,SOC_Video,9721.74
2024-06-01,Email,EML_Nurture,5581.97
2024-06-01,Email,EML_Reactivation,2652.25
2024-06-01,Partner,PART_Consultants,9024.07
2024-06-01,Partner,PART_Community,6619.65
2024-06-01,Organic Search,ORG_SEO,7975.54
2024-06-01,Referral,REF_Customer,5617.48
2024-06-01,Direct,DIR_None,0.0
2024-07-01,Paid Search,PS_Brand,16230.33
2024-07-01,Paid Search,PS_NonBrand,27814.59
2024-07-01,Paid Search,PS_Competitor,7201.48
2024-07-01,Paid Social,SOC_Prospecting,31912.12
2024-07-01,Paid Social,SOC_Retargeting,13461.37
2024-07-01,Paid Social,SOC_Video,11194.4
2024-07-01,Email,EML_Nurture,4981.32
2024-07-01,Email,EML_Reactivation,3153.73
2024-07-01,Partner,PART_Consultants,9704.59
2024-07-01,Partner,PART_Community,5814.1
2024-07-01,Organic Search,ORG_SEO,8493.16
2024-07-01,Referral,REF_Customer,5921.09
2024-07-01,Direct,DIR_None,0.0
2024-08-01,Paid Search,PS_Brand,17691.24
2024-08-01,Paid Search,PS_NonBrand,26565.21
2024-08-01,Paid Search,PS_Competitor,8756.82
2024-08-01,Paid Social,SOC_Prospecting,31967.86
2024-08-01,Paid Social,SOC_Retargeting,14922.65
2024-08-01,Paid Social,SOC_Video,10453.34
2024-08-01,Email,EML_Nurture,4383.42
2024-08-01,Email,EML_Reactivation,2867.86
2024-08-01,Partner,PART_Consultants,9521.85
